binary,metric,value,config
gcc_s,system.l3.overallMshrMissLatency::l3.prefetcher,12283901564,nextline
gcc_s,system.l3.demandMshrMissRate::cpu.dcache.prefetcher,0.823718,nextline
gcc_s,system.l3.demandMshrMissRate::cpu.icache.prefetcher,0.767442,nextline
gcc_s,system.l3.demandMshrMissRate::l2.prefetcher,0.034920,nextline
gcc_s,system.l3.overallMshrMissRate::cpu.dcache.prefetcher,0.823718,nextline
gcc_s,system.l3.overallMshrMissRate::cpu.icache.prefetcher,0.767442,nextline
gcc_s,system.l3.overallMshrMissRate::l2.prefetcher,0.034920,nextline
gcc_s,system.l3.overallMshrMissRate::l3.prefetcher,inf,nextline
gcc_s,system.l3.demandAvgMshrMissLatency::cpu.dcache.prefetcher,69221.341606,nextline
gcc_s,system.l3.demandAvgMshrMissLatency::cpu.icache.prefetcher,86045.181818,nextline
gcc_s,system.l3.demandAvgMshrMissLatency::l2.prefetcher,66348.514286,nextline
gcc_s,system.l3.overallAvgMshrMissLatency::cpu.dcache.prefetcher,69221.341606,nextline
gcc_s,system.l3.overallAvgMshrMissLatency::cpu.icache.prefetcher,86045.181818,nextline
gcc_s,system.l3.overallAvgMshrMissLatency::l2.prefetcher,66348.514286,nextline
gcc_s,system.l3.overallAvgMshrMissLatency::l3.prefetcher,49628.917698,nextline
gcc_s,system.l3.HardPFReq.mshrMisses::l3.prefetcher,247515,nextline
gcc_s,system.l3.HardPFReq.mshrMissLatency::l3.prefetcher,12283901564,nextline
gcc_s,system.l3.HardPFReq.mshrMissRate::l3.prefetcher,inf,nextline
gcc_s,system.l3.HardPFReq.avgMshrMissLatency::l3.prefetcher,49628.917698,nextline
gcc_s,system.l3.ReadSharedReq.hits::cpu.dcache.prefetcher,502,nextline
gcc_s,system.l3.ReadSharedReq.hits::cpu.icache.prefetcher,8,nextline
gcc_s,system.l3.ReadSharedReq.hits::l2.prefetcher,19652,nextline
gcc_s,system.l3.ReadSharedReq.misses::cpu.dcache.prefetcher,8841,nextline
gcc_s,system.l3.ReadSharedReq.misses::cpu.icache.prefetcher,35,nextline
gcc_s,system.l3.ReadSharedReq.misses::l2.prefetcher,237940,nextline
gcc_s,system.l3.ReadSharedReq.missLatency::cpu.dcache.prefetcher,617985104,nextline
gcc_s,system.l3.ReadSharedReq.missLatency::cpu.icache.prefetcher,3115215,nextline
gcc_s,system.l3.ReadSharedReq.missLatency::l2.prefetcher,9959593353,nextline
gcc_s,system.l3.ReadSharedReq.accesses::cpu.dcache.prefetcher,9343,nextline
gcc_s,system.l3.ReadSharedReq.accesses::cpu.icache.prefetcher,43,nextline
gcc_s,system.l3.ReadSharedReq.accesses::l2.prefetcher,257592,nextline
gcc_s,system.l3.ReadSharedReq.missRate::cpu.dcache.prefetcher,0.946270,nextline
